Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539009097564,4710571960206,-0.46926352,0.9959879,9.911995
android.sensor.accelerometer,1539009097593,4710591951352,-0.48841715,1.0055647,9.854534
android.sensor.accelerometer,1539009097597,4710611942498,-0.48841715,1.0247183,9.77792
android.sensor.accelerometer,1539009097617,4710631964165,-0.47884035,1.0247183,9.844957
android.sensor.accelerometer,1539009097638,4710651955310,-0.48841715,0.9959879,9.911995
android.sensor.accelerometer,1539009097656,4710671946456,-0.49799395,0.9959879,9.825804
android.sensor.accelerometer,1539009097677,4710691937602,-0.51714754,0.9768343,9.931149
android.sensor.accelerometer,1539009097697,4710711959269,-0.545878,0.9768343,9.921572
android.sensor.accelerometer,1539009097720,4710731950415,-0.5267244,1.0151415,9.902418
android.sensor.accelerometer,1539009097737,4710751941560,-0.49799395,1.0055647,9.835381
android.sensor.accelerometer,1539009097756,4710771963227,-0.48841715,1.0151415,9.643845
android.sensor.accelerometer,1539009097777,4710791954373,-0.5267244,1.0151415,9.433155
android.sensor.accelerometer,1539009097797,4710811945519,-0.545878,1.0055647,9.576807
android.sensor.accelerometer,1539009097817,4710831967185,-0.545878,1.0247183,9.643845
android.sensor.accelerometer,1539009097840,4710851958331,-0.5267244,1.0534488,9.346964
android.sensor.accelerometer,1539009097857,4710871949477,-0.50757074,1.0151415,9.404425
android.sensor.accelerometer,1539009097883,4710891940623,-0.5363012,0.9864111,9.662998
android.sensor.accelerometer,1539009097898,4710911962290,-0.545878,0.9768343,9.816227
android.sensor.accelerometer,1539009097928,4710931953435,-0.545878,0.9864111,9.5385
android.sensor.accelerometer,1539009097937,4710951944581,-0.5267244,0.9864111,9.940725
android.sensor.accelerometer,1539009097973,4710971966248,-0.545878,0.9959879,9.835381
android.sensor.accelerometer,1539009097976,4710991957394,-0.5554548,1.0151415,9.835381
android.sensor.accelerometer,1539009098002,4711011948540,-0.5267244,0.9768343,9.911995
android.sensor.accelerometer,1539009098016,4711031939685,-0.5554548,0.9672575,9.950302
android.sensor.accelerometer,1539009098037,4711051961352,-0.47884035,0.9864111,9.892841
android.sensor.accelerometer,1539009098057,4711071952498,-0.46926352,1.0151415,9.768343
android.sensor.accelerometer,1539009098076,4711091943644,-0.49799395,1.0630256,9.701305
android.sensor.accelerometer,1539009098097,4711111965310,-0.50757074,1.043872,9.749189
android.sensor.accelerometer,1539009098124,4711131956456,-0.50757074,0.9959879,9.883265
android.sensor.accelerometer,1539009098143,4711151947602,-0.5363012,0.9864111,9.902418
android.sensor.accelerometer,1539009098157,4711171938748,-0.5267244,0.9959879,9.80665
android.sensor.accelerometer,1539009098176,4711191960415,-0.48841715,0.9959879,9.80665
android.sensor.accelerometer,1539009098197,4711211951560,-0.4405331,0.9864111,9.844957
android.sensor.accelerometer,1539009098222,4711231942706,-0.45010993,0.9959879,9.844957
android.sensor.accelerometer,1539009098240,4711251964373,-0.51714754,1.0247183,9.816227
android.sensor.accelerometer,1539009098256,4711271955519,-0.545878,0.9768343,9.921572
android.sensor.accelerometer,1539009098281,4711291946665,-0.49799395,0.9672575,9.940725
android.sensor.accelerometer,1539009098296,4711311937810,-0.47884035,0.9864111,10.113108
android.sensor.accelerometer,1539009098316,4711331959477,-0.49799395,0.9768343,9.758766
android.sensor.accelerometer,1539009098339,4711351950623,-0.6703765,0.9576807,9.203311
android.sensor.accelerometer,1539009098357,4711371941769,-0.89064306,1.1013328,9.749189
android.sensor.accelerometer,1539009098383,4711391963435,-0.21068975,0.82360536,9.902418
android.sensor.accelerometer,1539009098397,4711411954581,-0.51714754,0.89064306,10.888829
android.sensor.accelerometer,1539009098417,4711431945727,-0.8523358,0.8331822,9.873688
android.sensor.accelerometer,1539009098438,4711451936873,-0.58418524,1.0342951,9.078813
android.sensor.accelerometer,1539009098456,4711471958540,-0.4309563,1.1587936,9.548077
android.sensor.accelerometer,1539009098476,4711491949685,-0.61291564,1.0151415,10.036493
android.sensor.accelerometer,1539009098496,4711511940831,-0.5746084,0.9576807,10.113108
android.sensor.accelerometer,1539009098518,4711531962498,-0.41180268,1.0151415,10.036493
android.sensor.accelerometer,1539009098539,4711551953644,-0.5363012,1.0342951,9.998186
android.sensor.accelerometer,1539009098559,4711571944790,-0.7182605,1.0055647,9.232041
android.sensor.accelerometer,1539009098577,4711591966456,-0.78529817,0.9959879,9.768343
android.sensor.accelerometer,1539009098597,4711611957602,-0.36391866,1.091756,9.854534
android.sensor.accelerometer,1539009098617,4711631948748,-0.5746084,1.1109096,10.1226845
android.sensor.accelerometer,1539009098637,4711651939894,-0.50757074,1.0726024,9.682152
android.sensor.accelerometer,1539009098657,4711671961560,-0.6512229,1.0342951,9.481039
