Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1539009097564,4710570953019,-2.2689281E-4,0.008813913,-0.0025830872
android.sensor.gyroscope,1539009097593,4710590944165,0.004642576,0.007592182,-0.005026548
android.sensor.gyroscope,1539009097597,4710610965831,9.773844E-4,2.6179937E-4,-0.0038048178
android.sensor.gyroscope,1539009097616,4710630956977,-0.016109388,-0.0033859387,0.0035081117
android.sensor.gyroscope,1539009097635,4710650948123,-0.031991884,0.0027052604,0.009616764
android.sensor.gyroscope,1539009097655,4710670939269,-0.027104963,2.6179937E-4,0.0047298423
android.sensor.gyroscope,1539009097675,4710690960935,-0.012444197,2.6179937E-4,-0.0062482785
android.sensor.gyroscope,1539009097695,4710710952081,-0.008779006,0.011257374,-0.011135201
android.sensor.gyroscope,1539009097720,4710730943227,-0.013665928,0.0014835298,-0.00991347
android.sensor.gyroscope,1539009097737,4710750964894,-0.010000736,-0.00827286,-0.0074700094
android.sensor.gyroscope,1539009097755,4710770956040,-0.0026703537,-0.0033859387,-0.005026548
android.sensor.gyroscope,1539009097775,4710790947185,0.0021991148,0.010035643,-0.0038048178
android.sensor.gyroscope,1539009097797,4710810938331,0.004642576,0.012479104,-0.0062482785
android.sensor.gyroscope,1539009097815,4710830959998,0.008307767,0.011257374,-0.008691739
android.sensor.gyroscope,1539009097840,4710850951144,0.01685988,0.0027052604,-0.011135201
android.sensor.gyroscope,1539009097855,4710870942290,0.018081611,-0.011938052,-0.011135201
android.sensor.gyroscope,1539009097883,4710890963956,-2.2689281E-4,-0.016824974,-0.011135201
android.sensor.gyroscope,1539009097898,4710910955102,-0.013665928,2.6179937E-4,-0.0074700094
android.sensor.gyroscope,1539009097920,4710930946248,-2.2689281E-4,0.0051487214,-0.005026548
android.sensor.gyroscope,1539009097937,4710950937394,0.01441642,-0.0058293995,-0.0038048178
android.sensor.gyroscope,1539009097972,4710970959060,0.008307767,-0.013159783,-0.0025830872
android.sensor.gyroscope,1539009097975,4710990950206,-0.010000736,-0.011938052,-1.3962634E-4
android.sensor.gyroscope,1539009098001,4711010941352,-0.022218041,-0.0094945915,-1.3962634E-4
android.sensor.gyroscope,1539009098016,4711030963019,-0.020996312,0.0051487214,0.0035081117
android.sensor.gyroscope,1539009098035,4711050954165,-0.0051138145,0.012479104,0.0035081117
android.sensor.gyroscope,1539009098055,4711070945310,0.01685988,0.003926991,0.0010646508
android.sensor.gyroscope,1539009098075,4711090966977,0.032742377,2.6179937E-4,0.0022863813
android.sensor.gyroscope,1539009098097,4711110958123,-0.012444197,0.021031218,0.009616764
android.sensor.gyroscope,1539009098124,4711130949269,-0.029548423,0.0137008345,0.014503686
android.sensor.gyroscope,1539009098135,4711150940415,-0.01733112,-0.00827286,0.008395034
android.sensor.gyroscope,1539009098155,4711170962081,0.0070860367,-0.026598819,0.0035081117
android.sensor.gyroscope,1539009098176,4711190953227,0.010751228,-0.021711895,-0.0025830872
android.sensor.gyroscope,1539009098195,4711210944373,-0.0063355453,-0.00827286,-0.0013613568
android.sensor.gyroscope,1539009098215,4711230966040,-0.01733112,-0.014381513,-0.005026548
android.sensor.gyroscope,1539009098240,4711250957185,-0.01977458,-0.015603243,-0.008691739
android.sensor.gyroscope,1539009098255,4711270948331,-0.020996312,-0.0021642083,-1.3962634E-4
android.sensor.gyroscope,1539009098275,4711290939477,-0.012444197,0.016144296,0.010838495
android.sensor.gyroscope,1539009098295,4711310961144,0.008307767,0.023474678,0.008395034
android.sensor.gyroscope,1539009098315,4711330952290,0.03396411,0.066235244,-1.3962634E-4
android.sensor.gyroscope,1539009098339,4711350943435,0.031520646,0.14076081,-0.0025830872
android.sensor.gyroscope,1539009098355,4711370965102,-0.07108726,0.24582963,0.019390607
android.sensor.gyroscope,1539009098375,4711390956248,-0.2213601,0.23361231,0.043825217
android.sensor.gyroscope,1539009098397,4711410947394,-0.21158627,-0.05958554,-0.014800392
android.sensor.gyroscope,1539009098416,4711430938540,0.10971139,-0.038816124,-0.057560958
android.sensor.gyroscope,1539009098437,4711450960206,0.32473597,-0.16587609,-0.052674036
android.sensor.gyroscope,1539009098455,4711470951352,0.2575408,-0.16709782,-0.03556981
android.sensor.gyroscope,1539009098475,4711490942498,0.06084218,-0.010716322,-0.022130774
android.sensor.gyroscope,1539009098495,4711510964165,-0.058869954,0.06867871,-0.005026548
android.sensor.gyroscope,1539009098518,4711530955310,-0.08086111,0.041800637,0.010838495
android.sensor.gyroscope,1539009098539,4711550946456,-0.055204764,0.014922565,0.008395034
android.sensor.gyroscope,1539009098556,4711570968123,-2.2689281E-4,0.016144296,-0.0074700094
android.sensor.gyroscope,1539009098575,4711590959269,0.022968533,-0.063250735,-0.0013613568
android.sensor.gyroscope,1539009098595,4711610950415,0.01685988,-0.16709782,0.009616764
android.sensor.gyroscope,1539009098616,4711630941560,0.053511795,-0.08768534,0.016947147
android.sensor.gyroscope,1539009098636,4711650963227,0.081611596,0.06501351,-0.008691739
android.sensor.gyroscope,1539009098656,4711670954373,0.031520646,0.082117744,-0.013578662
