Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539005121190,734204958019,2.6527755,8.169016,4.6351743
android.sensor.accelerometer,1539005121209,734224949165,2.4229321,8.303091,5.410896
android.sensor.accelerometer,1539005121229,734244940310,2.135628,8.408437,5.21936
android.sensor.accelerometer,1539005121251,734264961977,2.1643584,8.303091,4.3382936
android.sensor.accelerometer,1539005121270,734284953123,2.7006595,8.571242,3.4859576
android.sensor.accelerometer,1539005121289,734304944269,3.074155,8.63828,3.1986535
android.sensor.accelerometer,1539005121309,734324965935,2.7485435,8.542512,3.8786068
android.sensor.accelerometer,1539005121329,734344957081,2.4037786,8.331821,4.9320555
android.sensor.accelerometer,1539005121350,734364948227,1.9153614,8.389283,5.104438
android.sensor.accelerometer,1539005121369,734384939373,1.8579005,8.446744,4.462792
android.sensor.accelerometer,1539005121389,734404961040,2.0398598,8.485051,4.5298295
android.sensor.accelerometer,1539005121409,734424952185,2.4037786,8.485051,4.7405195
android.sensor.accelerometer,1539005121429,734444943331,2.7868507,8.542512,4.4340615
android.sensor.accelerometer,1539005121449,734464964998,2.528277,8.6095495,4.3287168
android.sensor.accelerometer,1539005121469,734484956144,2.2697031,8.7053175,4.280833
android.sensor.accelerometer,1539005121489,734504947290,2.3558946,8.781932,3.86903
android.sensor.accelerometer,1539005121509,734524938435,2.4899697,8.820239,3.1890767
android.sensor.accelerometer,1539005121529,734544960102,2.4133554,8.762778,3.4763808
android.sensor.accelerometer,1539005121550,734564951248,2.3654714,8.619126,4.501099
android.sensor.accelerometer,1539005121569,734584942394,2.3750482,8.772355,4.8458643
android.sensor.accelerometer,1539005121589,734604964060,2.5474305,8.695741,4.2042184
android.sensor.accelerometer,1539005121609,734624955206,2.6910827,8.599973,3.9552212
android.sensor.accelerometer,1539005121630,734644946352,2.633622,8.724471,4.271256
android.sensor.accelerometer,1539005121650,734664937498,2.6144683,8.810662,4.6830587
android.sensor.accelerometer,1539005121669,734684959165,2.480393,8.781932,4.4436383
android.sensor.accelerometer,1539005121690,734704950310,2.4229321,8.686164,4.1371803
android.sensor.accelerometer,1539005121712,734724941456,2.528277,8.858546,4.1371803
android.sensor.accelerometer,1539005121729,734744963123,2.5474305,8.887277,3.7445314
android.sensor.accelerometer,1539005121749,734764954269,2.336741,8.743625,3.8977604
android.sensor.accelerometer,1539005121770,734784945415,2.4037786,8.734048,4.3766007
android.sensor.accelerometer,1539005121789,734804936560,2.528277,8.619126,4.453215
android.sensor.accelerometer,1539005121809,734824958227,2.384625,8.350976,4.2999864
android.sensor.accelerometer,1539005121829,734844949373,1.8100165,8.283937,4.280833
android.sensor.accelerometer,1539005121850,734864940519,1.3311762,8.207323,4.759673
android.sensor.accelerometer,1539005121869,734884962185,1.1013328,8.283937,4.951209
android.sensor.accelerometer,1539005121890,734904953331,1.484405,8.274361,4.644751
android.sensor.accelerometer,1539005121909,734924944477,1.7525556,8.379706,4.5872903
android.sensor.accelerometer,1539005121929,734944966144,2.0398598,8.255207,4.6351743
android.sensor.accelerometer,1539005121950,734964957290,1.9249382,8.39886,4.7884035
android.sensor.accelerometer,1539005121969,734984948435,1.6950948,8.408437,4.7979803
android.sensor.accelerometer,1539005121989,735004939581,1.7717092,8.360553,4.76925
android.sensor.accelerometer,1539005122011,735024961248,2.2505496,8.37013,4.453215
android.sensor.accelerometer,1539005122029,735044952394,2.3942018,8.331821,4.414908
android.sensor.accelerometer,1539005122049,735064943540,2.1452048,8.389283,4.8458643
android.sensor.accelerometer,1539005122069,735084965206,1.8579005,8.552089,4.711789
android.sensor.accelerometer,1539005122089,735104956352,1.5897499,8.695741,4.156334
android.sensor.accelerometer,1539005122109,735124947498,1.7621324,8.724471,2.9879637
android.sensor.accelerometer,1539005122129,735144938644,1.9440918,8.772355,2.8443117
android.sensor.accelerometer,1539005122149,735164960310,1.8674773,8.944737,3.4476504
android.sensor.accelerometer,1539005122169,735184951456,1.7908629,8.992621,3.2752678
android.sensor.accelerometer,1539005122189,735204942602,2.1068976,8.724471,2.9017725
android.sensor.accelerometer,1539005122209,735224964269,1.8962077,8.6095495,3.6104562
android.sensor.accelerometer,1539005122229,735244955415,1.6567876,8.7532015,4.0892963
android.sensor.accelerometer,1539005122249,735264946560,2.0398598,8.7532015,3.4093432
android.sensor.accelerometer,1539005122269,735284937706,2.528277,8.762778,3.074155
android.sensor.accelerometer,1539005122289,735304959373,2.6527755,8.695741,3.6774938
android.sensor.accelerometer,1539005122309,735324950519,2.384625,8.791509,4.644751
android.sensor.accelerometer,1539005122329,735344941665,2.4420857,8.714894,4.807557
android.sensor.accelerometer,1539005122350,735364963331,2.5378537,8.7053175,4.1946416
android.sensor.accelerometer,1539005122370,735384954477,2.4708161,8.829816,3.715801
android.sensor.accelerometer,1539005122390,735404945623,2.3463178,8.973468,3.7062242
android.sensor.accelerometer,1539005122410,735424936769,2.4229321,8.935161,3.964798
android.sensor.accelerometer,1539005122430,735444958435,2.6240451,9.155427,3.217807
android.sensor.accelerometer,1539005122450,735464949581,2.7389667,8.916007,2.9975405
android.sensor.accelerometer,1539005122470,735484940727,2.5091233,8.944737,3.6870706
android.sensor.accelerometer,1539005122490,735504962394,2.5761611,8.925584,3.9264908
android.sensor.accelerometer,1539005122510,735524953540,2.72939,8.963891,3.371036
android.sensor.accelerometer,1539005122530,735544944685,2.6240451,8.868123,3.2273839
android.sensor.accelerometer,1539005122550,735564966352,2.3175871,8.858546,3.6391866
android.sensor.accelerometer,1539005122570,735584957498,2.3463178,8.848969,3.7924154
android.sensor.accelerometer,1539005122590,735604948644,2.4708161,8.848969,3.265691
android.sensor.accelerometer,1539005122611,735624939790,2.4133554,8.90643,3.074155
android.sensor.accelerometer,1539005122629,735644961456,2.3175871,8.935161,3.620033
android.sensor.accelerometer,1539005122650,735664952602,2.5570073,8.7532015,3.3327289
android.sensor.accelerometer,1539005122670,735684943748,2.5570073,8.734048,2.4995465
android.sensor.accelerometer,1539005122690,735704965415,2.0111294,8.829816,2.5761611
android.sensor.accelerometer,1539005122710,735724956560,1.5801731,8.820239,2.9975405
android.sensor.accelerometer,1539005122729,735744947706,1.7908629,8.868123,3.2369606
android.sensor.accelerometer,1539005122749,735764938852,1.9153614,8.580819,3.4763808
android.sensor.accelerometer,1539005122769,735784960519,1.8579005,8.7532015,3.4955344
android.sensor.accelerometer,1539005122789,735804951665,1.9919758,8.791509,3.5051112
android.sensor.accelerometer,1539005122810,735824942810,2.0398598,8.829816,3.763685
android.sensor.accelerometer,1539005122830,735844964477,2.2888567,8.916007,3.8307228
android.sensor.accelerometer,1539005122850,735864955623,2.4037786,8.944737,4.1276035
android.sensor.accelerometer,1539005122870,735884946769,2.0398598,8.66701,4.175488
