Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539010681973,6294981943227,-2.920926,6.7803793,-6.588843
android.sensor.accelerometer,1539010681991,6295001964894,-3.1028855,6.7612257,-7.2592196
android.sensor.accelerometer,1539010682007,6295021956040,-2.9879637,6.7229185,-6.349423
android.sensor.accelerometer,1539010682026,6295041947185,-2.719813,6.7803793,-5.9567738
android.sensor.accelerometer,1539010682047,6295061938331,-2.6240451,6.8569937,-6.7324953
android.sensor.accelerometer,1539010682066,6295081959998,-2.528277,6.7708025,-6.655881
android.sensor.accelerometer,1539010682086,6295101951144,-2.4995465,6.8091097,-6.0046577
android.sensor.accelerometer,1539010682106,6295121942290,-2.5378537,6.9240313,-6.129156
android.sensor.accelerometer,1539010682126,6295141963956,-2.633622,7.0485296,-6.9527617
android.sensor.accelerometer,1539010682147,6295161955102,-2.7964275,7.029376,-6.3781533
android.sensor.accelerometer,1539010682166,6295181946248,-2.6719291,6.9240313,-5.439626
android.sensor.accelerometer,1539010682186,6295201937394,-2.7485435,6.8761473,-5.841852
android.sensor.accelerometer,1539010682206,6295221959060,-2.9017725,6.9048777,-6.2728086
android.sensor.accelerometer,1539010682226,6295241950206,-2.8538885,6.895301,-6.081272
android.sensor.accelerometer,1539010682246,6295261941352,-2.585738,6.943185,-5.2863975
android.sensor.accelerometer,1539010682266,6295281963019,-2.5570073,7.0006456,-5.257667
android.sensor.accelerometer,1539010682287,6295301954165,-2.882619,6.9527617,-5.90889
android.sensor.accelerometer,1539010682309,6295321945310,-2.7964275,6.991069,-6.5984197
android.sensor.accelerometer,1539010682326,6295341966977,-2.5953147,7.038953,-5.8801594
android.sensor.accelerometer,1539010682346,6295361958123,-2.3175871,7.0485296,-6.0525417
android.sensor.accelerometer,1539010682367,6295381949269,-2.633622,7.029376,-6.4739213
android.sensor.accelerometer,1539010682386,6295401940415,-2.8060043,6.9623384,-5.947197
android.sensor.accelerometer,1539010682407,6295421962081,-2.6719291,7.07726,-6.2249246
android.sensor.accelerometer,1539010682426,6295441953227,-2.7868507,7.029376,-6.3781533
android.sensor.accelerometer,1539010682447,6295461944373,-3.0262709,6.9240313,-5.6886234
android.sensor.accelerometer,1539010682466,6295481966040,-2.882619,6.981492,-5.554548
android.sensor.accelerometer,1539010682486,6295501957185,-2.9400797,7.038953,-6.090849
android.sensor.accelerometer,1539010682507,6295521948331,-3.2465374,7.07726,-6.703765
android.sensor.accelerometer,1539010682527,6295541939477,-3.0071173,7.1347213,-6.9623384
android.sensor.accelerometer,1539010682546,6295561961144,-2.480393,7.029376,-6.5601125
android.sensor.accelerometer,1539010682566,6295581952290,-2.920926,7.2592196,-6.4068837
android.sensor.accelerometer,1539010682586,6295601943435,-3.074155,7.249643,-6.157887
android.sensor.accelerometer,1539010682606,6295621965102,-2.6910827,7.153875,-6.1770406
android.sensor.accelerometer,1539010682626,6295641956248,-2.4899697,7.038953,-5.995081
android.sensor.accelerometer,1539010682647,6295661947394,-2.4612393,6.895301,-6.291962
android.sensor.accelerometer,1539010682667,6295681938540,-2.9496565,6.981492,-6.4739213
android.sensor.accelerometer,1539010682689,6295701960206,-3.0454245,6.8761473,-5.8705826
android.sensor.accelerometer,1539010682706,6295721951352,-2.0494366,6.3781533,-6.205771
android.sensor.accelerometer,1539010682726,6295741942498,-1.6472107,6.7229185,-7.0964136
android.sensor.accelerometer,1539010682751,6295761964165,-3.1794999,7.881712,-5.1906295
android.sensor.accelerometer,1539010682767,6295781955310,-2.1643584,7.1347213,-4.8458643
