Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1539010674414,6287414943540,0.096202545,-0.18704693,0.05766568
android.sensor.gyroscope,1539010674419,6287434965206,0.07176794,-0.06976081,0.14196508
android.sensor.gyroscope,1539010674439,6287454956352,0.03267256,0.01818633,0.16517796
android.sensor.gyroscope,1539010674459,6287474947498,-0.011292281,0.019408062,0.08820894
android.sensor.gyroscope,1539010674479,6287494938644,-0.03450516,0.021851523,0.018570304
android.sensor.gyroscope,1539010674499,6287514960310,-0.022287855,-0.023335053,-0.018064158
android.sensor.gyroscope,1539010674520,6287534951456,-0.013735741,-0.15894714,-0.020507619
android.sensor.gyroscope,1539010674553,6287554942602,-0.22142991,-0.040439278,-0.036390115
android.sensor.gyroscope,1539010674565,6287574964269,-0.1762259,-0.0037873646,-0.06815511
android.sensor.gyroscope,1539010674583,6287594955415,0.15728907,-0.15039502,-0.09869837
android.sensor.gyroscope,1539010674600,6287614946560,0.2305929,-0.16872098,-0.13412856
android.sensor.gyroscope,1539010674619,6287634937706,-0.109030716,-0.03799582,-0.18544123
android.sensor.gyroscope,1539010674639,6287654959373,-0.26296875,0.09759881,-0.13290682
android.sensor.gyroscope,1539010674659,6287674950519,-0.044279,0.273528,-0.021729348
android.sensor.gyroscope,1539010674679,6287694941665,0.090093896,0.15379842,0.12241739
android.sensor.gyroscope,1539010674699,6287714963331,-0.078487456,0.15135495,0.18106046
android.sensor.gyroscope,1539010674720,6287734954477,-0.25197318,0.06827728,0.06499606
android.sensor.gyroscope,1539010674739,6287754945623,-0.11269591,-0.15161675,-0.036390115
android.sensor.gyroscope,1539010674759,6287774936769,0.061994094,-0.10641272,-0.118246056
android.sensor.gyroscope,1539010674779,6287794958435,-0.006405358,0.062168628,-0.1561197
android.sensor.gyroscope,1539010674799,6287814949581,-0.12613495,0.0023038345,-0.12068952
android.sensor.gyroscope,1539010674819,6287834940727,-0.10292207,-0.16627751,-0.060824726
android.sensor.gyroscope,1539010674839,6287854962394,-0.0882613,-0.15894714,0.002687807
android.sensor.gyroscope,1539010674858,6287874953540,-0.11147418,-0.024556782,0.047891833
android.sensor.gyroscope,1539010674879,6287894944685,-0.1041438,-0.009896017,0.021013765
android.sensor.gyroscope,1539010674899,6287914966352,-0.107808985,-0.061208695,0.032009337
android.sensor.gyroscope,1539010674918,6287934957498,-0.14079571,-0.022113321,0.06866125
android.sensor.gyroscope,1539010674941,6287954948644,-0.15056956,0.04872959,0.07599164
android.sensor.gyroscope,1539010674959,6287974939790,-0.12002629,0.17090264,0.06133087
android.sensor.gyroscope,1539010674979,6287994961456,-0.12124802,0.16235052,0.029565878
android.sensor.gyroscope,1539010674999,6288014952602,-0.21898647,0.042620942,-0.046163958
android.sensor.gyroscope,1539010675019,6288034943748,-0.34115952,0.09271189,-0.062046453
android.sensor.gyroscope,1539010675047,6288054965415,-0.33505085,0.2539803,-0.06815511
android.sensor.gyroscope,1539010675059,6288074956560,-0.21776474,0.35904914,-0.070598565
android.sensor.gyroscope,1539010675079,6288094947706,-0.12246975,0.19289379,-0.062046453
android.sensor.gyroscope,1539010675100,6288114938852,-0.13835225,0.16112879,-0.016842427
android.sensor.gyroscope,1539010675118,6288134960519,-0.22142991,0.31506684,0.080878556
android.sensor.gyroscope,1539010675139,6288154951665,-0.20676915,0.32484066,0.111421816
android.sensor.gyroscope,1539010675159,6288174942810,-2.9670598E-4,0.16479398,0.044226643
android.sensor.gyroscope,1539010675180,6288194964477,0.14385004,0.16845918,0.012461651
android.sensor.gyroscope,1539010675199,6288214955623,-0.014957472,0.26864108,0.06743952
android.sensor.gyroscope,1539010675223,6288234946769,-0.21287781,0.14646803,0.10042624
android.sensor.gyroscope,1539010675240,6288254937915,-0.15912166,-0.055100046,0.0625526
android.sensor.gyroscope,1539010675259,6288274959581,-0.09070476,0.04017748,0.03689626
android.sensor.gyroscope,1539010675279,6288294950727,-0.184778,0.37126642,0.06743952
android.sensor.gyroscope,1539010675299,6288314941873,-0.1566782,0.36271432,0.14563027
android.sensor.gyroscope,1539010675319,6288334963540,-0.060161497,0.31873202,0.14929546
android.sensor.gyroscope,1539010675339,6288354954685,-0.14323917,0.5105437,0.05644395
android.sensor.gyroscope,1539010675359,6288374945831,-0.27518606,0.5056568,0.028344147
android.sensor.gyroscope,1539010675379,6288394936977,-0.24097762,0.45312238,0.052778758
android.sensor.gyroscope,1539010675399,6288414958644,-0.2324255,0.82086325,0.032009337
android.sensor.gyroscope,1539010675419,6288434949790,-0.52319735,1.5991056,0.08210029
android.sensor.gyroscope,1539010675439,6288454940935,-0.47188467,1.2423602,0.021013765
android.sensor.gyroscope,1539010675459,6288474962602,-0.05405285,0.7182379,-0.2599668
android.sensor.gyroscope,1539010675479,6288494953748,0.15362388,0.9748013,-0.5837254
android.sensor.gyroscope,1539010675499,6288514944894,-0.06749188,1.6748528,-0.7779805
android.sensor.gyroscope,1539010675519,6288534966560,-0.40713295,1.9680681,-0.5641777
android.sensor.gyroscope,1539010675539,6288554957706,-0.52441907,1.9949462,-0.24897122
android.sensor.gyroscope,1539010675558,6288574948852,-0.5965012,2.61192,-0.30272737
android.sensor.gyroscope,1539010675581,6288594939998,-0.9043773,3.700482,-0.57517326
android.sensor.gyroscope,1539010675599,6288614961665,-1.3991781,4.801261,-0.8085238
android.sensor.gyroscope,1539010675620,6288634952810,-1.6361938,4.747505,-0.5238606
android.sensor.gyroscope,1539010675639,6288654943956,-1.3869607,4.647323,-0.16955873
android.sensor.gyroscope,1539010675659,6288674965623,-1.2159185,5.018729,-0.06937684
android.sensor.gyroscope,1539010675679,6288694956769,-1.3173221,5.654029,0.13952161
