Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539004699136,312138946352,-2.7964275,6.933608,7.2687964
android.sensor.accelerometer,1539004699143,312158937498,-2.930503,6.9719152,6.445191
android.sensor.accelerometer,1539004699163,312178959165,-2.9879637,7.038953,5.592855
android.sensor.accelerometer,1539004699183,312198950310,-2.9017725,7.1634517,5.48751
android.sensor.accelerometer,1539004699205,312218971977,-2.8921957,7.240066,5.7843914
android.sensor.accelerometer,1539004699223,312238963123,-3.0262709,7.2304893,5.995081
android.sensor.accelerometer,1539004699246,312258954269,-3.016694,6.981492,5.401319
android.sensor.accelerometer,1539004699263,312278945415,-2.834735,7.153875,3.9552212
android.sensor.accelerometer,1539004699284,312298967081,-3.1794999,7.441179,5.305551
android.sensor.accelerometer,1539004699304,312318958227,-3.667917,7.3166804,6.3206925
android.sensor.accelerometer,1539004699323,312338949373,-3.6487634,7.249643,6.042965
android.sensor.accelerometer,1539004699343,312358940519,-3.4955344,7.1059904,6.4068837
android.sensor.accelerometer,1539004699363,312378962185,-3.3997664,6.9240313,6.579266
android.sensor.accelerometer,1539004699384,312398953331,-3.3135753,6.9144545,6.6079965
android.sensor.accelerometer,1539004699404,312418944477,-3.4859576,6.9623384,6.531382
android.sensor.accelerometer,1539004699424,312438966144,-3.2273839,6.9048777,6.6175733
android.sensor.accelerometer,1539004699444,312458957290,-3.074155,7.038953,6.5218053
android.sensor.accelerometer,1539004699464,312478948435,-3.217807,7.07726,6.291962
android.sensor.accelerometer,1539004699484,312498939581,-3.0550013,7.07726,5.985504
android.sensor.accelerometer,1539004699503,312518961248,-3.064578,7.240066,5.947197
android.sensor.accelerometer,1539004699523,312538952394,-2.9017725,7.4124484,5.717354
android.sensor.accelerometer,1539004699544,312558943540,-3.0071173,7.565677,5.851429
android.sensor.accelerometer,1539004699564,312578965206,-2.72939,7.4124484,5.8226986
android.sensor.accelerometer,1539004699584,312598956352,-2.6910827,7.469909,5.4683566
android.sensor.accelerometer,1539004699604,312618947498,-2.8443117,7.680599,5.2002063
android.sensor.accelerometer,1539004699624,312638938644,-2.8443117,7.6614456,5.363012
android.sensor.accelerometer,1539004699646,312658960310,-2.7581203,7.642292,5.659893
android.sensor.accelerometer,1539004699664,312678951456,-2.7102363,7.603985,5.66947
android.sensor.accelerometer,1539004699684,312698942602,-2.7102363,7.6710224,5.1906295
android.sensor.accelerometer,1539004699704,312718964269,-2.7102363,7.632715,5.0757074
android.sensor.accelerometer,1539004699724,312738955415,-2.7006595,7.536947,5.3342814
android.sensor.accelerometer,1539004699744,312758946560,-2.9017725,7.5465236,5.544971
android.sensor.accelerometer,1539004699766,312778937706,-2.920926,7.632715,5.4204726
android.sensor.accelerometer,1539004699784,312798959373,-3.0358477,7.5944076,5.506664
android.sensor.accelerometer,1539004699804,312818950519,-3.0550013,7.489063,5.5737014
android.sensor.accelerometer,1539004699824,312838941665,-3.0454245,7.4028716,5.631162
android.sensor.accelerometer,1539004699844,312858963331,-2.9496565,7.4507556,5.755661
android.sensor.accelerometer,1539004699864,312878954477,-2.9592333,7.431602,6.0046577
android.sensor.accelerometer,1539004699884,312898945623,-3.083732,7.4028716,5.90889
android.sensor.accelerometer,1539004699904,312918967290,-3.1507695,7.431602,5.746084
android.sensor.accelerometer,1539004699924,312938958435,-3.074155,7.4507556,5.66947
android.sensor.accelerometer,1539004699944,312958949581,-2.930503,7.4986396,5.554548
android.sensor.accelerometer,1539004699963,312978940727,-3.1028855,7.4986396,5.631162
android.sensor.accelerometer,1539004699983,312998962394,-3.016694,7.5561004,5.21936
android.sensor.accelerometer,1539004700007,313018953540,-2.873042,7.479486,5.2959743
android.sensor.accelerometer,1539004700023,313038944685,-2.8060043,7.28795,5.592855
android.sensor.accelerometer,1539004700043,313058966352,-2.9400797,7.2592196,5.449203
android.sensor.accelerometer,1539004700063,313078957498,-3.1794999,7.431602,5.2863975
android.sensor.accelerometer,1539004700083,313098948644,-3.1603463,7.3645644,5.592855
android.sensor.accelerometer,1539004700104,313118939790,-2.96881,7.1634517,5.985504
android.sensor.accelerometer,1539004700123,313138961456,-3.1411927,7.2304893,5.9280434
android.sensor.accelerometer,1539004700143,313158952602,-3.6391866,7.383718,5.5258174
android.sensor.accelerometer,1539004700163,313178943748,-3.41892,7.0581064,5.142745
android.sensor.accelerometer,1539004700185,313198965415,-3.9456444,7.4603324,5.9663506
android.sensor.accelerometer,1539004700203,313218956560,-3.4572272,7.6135616,5.746084
android.sensor.accelerometer,1539004700223,313238947706,-3.3901896,7.651869,5.7365074
android.sensor.accelerometer,1539004700248,313258938852,-3.064578,7.651869,5.0182467
android.sensor.accelerometer,1539004700264,313278960519,-3.1603463,7.6614456,4.912902
android.sensor.accelerometer,1539004700284,313298951665,-3.1028855,7.6710224,4.9895163
android.sensor.accelerometer,1539004700304,313318942810,-3.122039,7.699753,5.439626
