Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1539004682650,295662945935,0.08307767,-0.18325958,-0.07819075
android.sensor.gyroscope,1539004682668,295682937081,0.10262536,-0.2406809,-0.05864306
android.sensor.gyroscope,1539004682688,295702958748,0.15027285,-0.27977628,-0.07452556
android.sensor.gyroscope,1539004682708,295722949894,0.18325958,-0.27000242,-0.112399206
android.sensor.gyroscope,1539004682728,295742941040,0.18570304,-0.25167647,-0.11728612
android.sensor.gyroscope,1539004682749,295762962706,0.17715092,-0.26267204,-0.07696902
android.sensor.gyroscope,1539004682768,295782953852,0.15027285,-0.26633725,-0.047647487
android.sensor.gyroscope,1539004682788,295802944998,0.1001819,-0.18448131,-0.034208454
android.sensor.gyroscope,1539004682808,295822966665,0.06719518,-0.10995574,-0.0073303827
android.sensor.gyroscope,1539004682828,295842957810,0.073303826,-0.095294975,0.036651913
android.sensor.gyroscope,1539004682848,295862948956,0.07941248,-0.017104227,0.07574729
android.sensor.gyroscope,1539004682868,295882940102,0.042760566,0.072082095,0.081855945
android.sensor.gyroscope,1539004682888,295902961769,0.035430185,0.021991149,0.035430185
android.sensor.gyroscope,1539004682908,295922952915,0.05009095,-0.08307767,-0.0036651914
android.sensor.gyroscope,1539004682928,295942944060,0.013439035,-0.010995574,0.0036651914
android.sensor.gyroscope,1539004682948,295962965727,-0.042760566,0.12583824,0.05253441
android.sensor.gyroscope,1539004682968,295982956873,0.002443461,0.09407324,0.10262536
android.sensor.gyroscope,1539004682989,296002948019,0.16126843,-0.04642576,0.11362094
android.sensor.gyroscope,1539004683008,296022939165,0.22235495,-0.05742133,0.09773844
android.sensor.gyroscope,1539004683028,296042960831,0.10873401,-0.056199603,0.10506882
android.sensor.gyroscope,1539004683048,296062951977,0.06841691,-0.02565634,0.1282817
android.sensor.gyroscope,1539004683068,296082943123,0.10262536,-0.02443461,0.12217305
android.sensor.gyroscope,1539004683089,296102964790,0.1600467,-0.065973446,0.09162979
android.sensor.gyroscope,1539004683108,296122955935,0.1649336,-0.10140363,0.065973446
android.sensor.gyroscope,1539004683128,296142947081,0.09896017,-0.112399206,0.032986723
android.sensor.gyroscope,1539004683148,296162938227,0.020769417,-0.0842994,-0.002443461
android.sensor.gyroscope,1539004683168,296182959894,0.015882496,-0.059864793,-0.013439035
android.sensor.gyroscope,1539004683188,296202951040,0.030543262,-0.02932153,0.004886922
android.sensor.gyroscope,1539004683208,296222942185,-0.020769417,0.039095376,0.021991149
android.sensor.gyroscope,1539004683228,296242963852,-0.07819075,0.07452556,0.013439035
android.sensor.gyroscope,1539004683248,296262954998,-0.08552113,0.09040806,-0.004886922
android.sensor.gyroscope,1539004683268,296282946144,-0.07819075,0.09896017,-0.030543262
android.sensor.gyroscope,1539004683288,296302937290,-0.02687807,0.041538835,-0.047647487
android.sensor.gyroscope,1539004683308,296322958956,0.112399206,-0.10384709,-0.06841691
android.sensor.gyroscope,1539004683329,296342950102,0.18692476,-0.14049901,-0.09285152
android.sensor.gyroscope,1539004683348,296362941248,0.1001819,0.02932153,-0.095294975
android.sensor.gyroscope,1539004683369,296382962915,-0.05253441,0.23823744,-0.064751714
android.sensor.gyroscope,1539004683388,296402954060,-0.14660765,0.3481932,-0.015882496
android.sensor.gyroscope,1539004683408,296422945206,-0.10751228,0.23579398,0.0036651914
android.sensor.gyroscope,1539004683428,296442966873,0.0036651914,0.017104227,-0.0073303827
android.sensor.gyroscope,1539004683448,296462958019,0.059864793,-0.041538835,-0.02321288
android.sensor.gyroscope,1539004683468,296482949165,0.05864306,-0.02321288,-0.008552114
android.sensor.gyroscope,1539004683488,296502940310,0.05742133,-0.061086524,0.017104227
android.sensor.gyroscope,1539004683508,296522961977,0.064751714,-0.05497787,0.036651913
android.sensor.gyroscope,1539004683528,296542953123,0.08674286,-0.015882496,0.041538835
android.sensor.gyroscope,1539004683548,296562944269,0.12217305,-0.018325957,0.02687807
android.sensor.gyroscope,1539004683568,296582965935,0.17959438,-0.008552114,-0.010995574
android.sensor.gyroscope,1539004683588,296602957081,0.19181168,0.04886922,0.008552114
android.sensor.gyroscope,1539004683608,296622948227,0.14416419,0.10873401,0.036651913
android.sensor.gyroscope,1539004683628,296642939373,0.11728612,0.19914207,-0.036651913
