Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539009004740,4617751940831,7.603985,5.410896,2.8538885
android.sensor.accelerometer,1539009004763,4617771962498,7.6231384,5.439626,2.6910827
android.sensor.accelerometer,1539009004777,4617791953644,7.6710224,5.4204726,3.0071173
android.sensor.accelerometer,1539009004796,4617811944790,7.6614456,5.449203,3.2369606
android.sensor.accelerometer,1539009004817,4617831966456,7.6135616,5.4779334,3.1603463
android.sensor.accelerometer,1539009004836,4617851957602,7.833828,5.535394,3.0262709
android.sensor.accelerometer,1539009004857,4617871948748,7.920019,5.48751,2.9592333
android.sensor.accelerometer,1539009004878,4617891939894,7.881712,5.4204726,3.1507695
android.sensor.accelerometer,1539009004896,4617911961560,7.632715,5.439626,3.1411927
android.sensor.accelerometer,1539009004916,4617931952706,7.6614456,5.4683566,3.217807
android.sensor.accelerometer,1539009004937,4617951943852,7.881712,5.4300494,3.2465374
android.sensor.accelerometer,1539009004956,4617971965519,7.9966335,5.410896,2.7389667
android.sensor.accelerometer,1539009004977,4617991956665,8.082825,5.4300494,2.5761611
android.sensor.accelerometer,1539009004997,4618011947810,7.824251,5.4300494,3.371036
android.sensor.accelerometer,1539009005017,4618031938956,7.383718,5.45878,3.5434184
android.sensor.accelerometer,1539009005039,4618051960623,7.28795,5.535394,2.72939
android.sensor.accelerometer,1539009005056,4618071951769,7.393295,5.544971,2.0015526
android.sensor.accelerometer,1539009005076,4618091942915,7.5082164,5.45878,2.4037786
android.sensor.accelerometer,1539009005099,4618111964581,7.6135616,5.45878,2.7006595
android.sensor.accelerometer,1539009005116,4618131955727,7.699753,5.5258174,2.8634653
android.sensor.accelerometer,1539009005137,4618151946873,7.73806,5.5641246,2.834735
android.sensor.accelerometer,1539009005157,4618171938019,7.747637,5.4779334,2.7006595
android.sensor.accelerometer,1539009005177,4618191959685,7.575254,5.506664,2.528277
android.sensor.accelerometer,1539009005196,4618211950831,7.536947,5.506664,2.432509
android.sensor.accelerometer,1539009005216,4618231941977,7.431602,5.4779334,2.7485435
android.sensor.accelerometer,1539009005236,4618251963644,7.1059904,5.410896,2.9400797
android.sensor.accelerometer,1539009005257,4618271954790,7.038953,5.3247046,3.3997664
android.sensor.accelerometer,1539009005277,4618291945935,7.920019,5.133168,3.1028855
android.sensor.accelerometer,1539009005297,4618311967602,8.322245,5.1906295,3.0071173
android.sensor.accelerometer,1539009005317,4618331958748,8.111555,5.2289367,3.3997664
android.sensor.accelerometer,1539009005337,4618351949894,7.747637,5.3247046,3.2848446
android.sensor.accelerometer,1539009005357,4618371941040,7.7572136,5.3247046,3.1603463
android.sensor.accelerometer,1539009005376,4618391962706,7.6231384,5.391742,3.2082303
android.sensor.accelerometer,1539009005396,4618411953852,7.479486,5.4204726,3.3518825
android.sensor.accelerometer,1539009005416,4618431944998,7.565677,5.449203,3.4859576
android.sensor.accelerometer,1539009005437,4618451966665,8.082825,5.2385135,3.6774938
android.sensor.accelerometer,1539009005456,4618471957810,8.111555,5.2480903,3.8594532
android.sensor.accelerometer,1539009005476,4618491948956,7.6135616,5.506664,3.4955344
android.sensor.accelerometer,1539009005497,4618511940102,7.6231384,5.363012,2.8634653
android.sensor.accelerometer,1539009005516,4618531961769,7.7093296,5.2959743,3.0454245
android.sensor.accelerometer,1539009005537,4618551952915,7.1347213,5.506664,3.715801
android.sensor.accelerometer,1539009005556,4618571944060,7.144298,5.4204726,3.6391866
android.sensor.accelerometer,1539009005577,4618591965727,7.651869,5.21936,3.1794999
android.sensor.accelerometer,1539009005596,4618611956873,7.699753,5.209783,3.3614593
android.sensor.accelerometer,1539009005616,4618631948019,7.690176,5.2002063,3.8115692
android.sensor.accelerometer,1539009005636,4618651939165,7.9966335,5.142745,3.2561142
android.sensor.accelerometer,1539009005657,4618671960831,8.0924015,5.2863975,3.0262709
android.sensor.accelerometer,1539009005676,4618691951977,7.651869,5.391742,3.1411927
android.sensor.accelerometer,1539009005697,4618711943123,6.885724,5.650316,3.2848446
android.sensor.accelerometer,1539009005717,4618731964790,7.603985,5.5258174,3.3806129
android.sensor.accelerometer,1539009005736,4618751955935,7.4028716,5.6982,3.8115692
android.sensor.accelerometer,1539009005757,4618771947081,7.029376,5.45878,3.620033
