Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539005539299,1152304939998,10.860099,0.37349546,0.4213795
android.sensor.accelerometer,1539005539312,1152324961665,10.572795,0.23942018,0.37349546
android.sensor.accelerometer,1539005539330,1152344952810,9.80665,0.46926352,1.5131354
android.sensor.accelerometer,1539005539350,1152364943956,9.308656,0.9864111,1.1492168
android.sensor.accelerometer,1539005539370,1152384965623,9.605537,1.2737153,-0.45010993
android.sensor.accelerometer,1539005539390,1152404956769,10.170568,1.1875241,-1.2066777
android.sensor.accelerometer,1539005539410,1152424947915,10.180145,1.2162545,-0.37349546
android.sensor.accelerometer,1539005539429,1152444939060,9.844957,1.091756,1.0821792
android.sensor.accelerometer,1539005539450,1152464960727,9.461885,1.292869,1.6376339
android.sensor.accelerometer,1539005539469,1152484951873,9.873688,1.1875241,1.8291701
android.sensor.accelerometer,1539005539489,1152504943019,10.247183,1.091756,0.8619126
android.sensor.accelerometer,1539005539510,1152524964685,10.247183,1.0055647,1.1875241
android.sensor.accelerometer,1539005539529,1152544955831,9.969456,1.0247183,1.8100165
android.sensor.accelerometer,1539005539550,1152564946977,9.691729,1.1204864,1.8291701
android.sensor.accelerometer,1539005539570,1152584938123,9.883265,1.1971009,1.2641385
android.sensor.accelerometer,1539005539591,1152604959790,10.103531,1.2066777,0.78529817
android.sensor.accelerometer,1539005539610,1152624950935,10.208876,1.1779473,1.0247183
android.sensor.accelerometer,1539005539630,1152644942081,10.065224,1.1779473,1.541866
android.sensor.accelerometer,1539005539650,1152664963748,9.816227,1.2354081,1.532289
android.sensor.accelerometer,1539005539670,1152684954894,9.758766,1.2545617,1.1300632
android.sensor.accelerometer,1539005539690,1152704946040,9.749189,1.2545617,0.7757214
android.sensor.accelerometer,1539005539709,1152724937185,9.749189,1.1971009,0.8810662
android.sensor.accelerometer,1539005539730,1152744958852,9.787497,1.1300632,1.7046716
android.sensor.accelerometer,1539005539750,1152764949998,9.80665,1.0630256,2.078167
android.sensor.accelerometer,1539005539770,1152784941144,9.634268,1.0247183,2.0015526
android.sensor.accelerometer,1539005539790,1152804962810,9.691729,0.9768343,1.8387469
android.sensor.accelerometer,1539005539810,1152824953956,9.816227,1.0055647,1.8770541
android.sensor.accelerometer,1539005539830,1152844945102,9.730036,1.0055647,1.9632454
android.sensor.accelerometer,1539005539850,1152864966769,9.059659,0.9768343,1.8579005
android.sensor.accelerometer,1539005539870,1152884957915,9.126697,1.091756,1.8004397
android.sensor.accelerometer,1539005539890,1152904949060,9.643845,1.0726024,1.7142484
android.sensor.accelerometer,1539005539910,1152924940206,9.730036,0.91937345,1.8004397
android.sensor.accelerometer,1539005539930,1152944961873,9.394848,0.9768343,0.842759
android.sensor.accelerometer,1539005539949,1152964953019,9.299079,1.6376339,1.541866
android.sensor.accelerometer,1539005539970,1152984944165,9.605537,1.4269443,0.90979666
android.sensor.accelerometer,1539005539990,1153004965831,9.691729,1.2449849,1.3982137
android.sensor.accelerometer,1539005540009,1153024956977,9.471462,1.3982137,1.7621324
android.sensor.accelerometer,1539005540029,1153044948123,9.394848,1.3790601,1.934515
android.sensor.accelerometer,1539005540049,1153064939269,9.442732,1.4460979,1.8962077
android.sensor.accelerometer,1539005540070,1153084960935,9.854534,1.4077905,2.1164744
android.sensor.accelerometer,1539005540090,1153104952081,9.959879,1.283292,2.2122424
android.sensor.accelerometer,1539005540110,1153124943227,9.911995,1.1875241,2.1164744
android.sensor.accelerometer,1539005540129,1153144964894,9.720459,1.1109096,2.0207062
android.sensor.accelerometer,1539005540149,1153164956040,9.615114,0.94810385,2.1930888
android.sensor.accelerometer,1539005540170,1153184947185,9.346964,1.0630256,2.4229321
android.sensor.accelerometer,1539005540189,1153204938331,9.461885,1.1971009,2.8538885
android.sensor.accelerometer,1539005540210,1153224959998,10.084377,1.13964,2.96881
android.sensor.accelerometer,1539005540229,1153244951144,10.199299,0.9768343,2.777274
android.sensor.accelerometer,1539005540250,1153264942290,9.691729,0.93852705,2.7102363
android.sensor.accelerometer,1539005540270,1153284963956,9.241618,1.1779473,3.074155
android.sensor.accelerometer,1539005540290,1153304955102,9.078813,1.3982137,3.3039982
android.sensor.accelerometer,1539005540310,1153324946248,9.289502,1.2354081,3.016694
android.sensor.accelerometer,1539005540329,1153344937394,9.471462,1.1492168,2.8443117
android.sensor.accelerometer,1539005540350,1153364959060,9.32781,1.2545617,2.719813
android.sensor.accelerometer,1539005540370,1153384950206,9.203311,1.2449849,2.5378537
android.sensor.accelerometer,1539005540390,1153404941352,9.404425,1.2737153,2.3175871
android.sensor.accelerometer,1539005540409,1153424963019,9.576807,1.2449849,2.3080103
android.sensor.accelerometer,1539005540429,1153444954165,9.251195,1.2162545,2.3463178
android.sensor.accelerometer,1539005540450,1153464945310,9.212888,1.3694834,2.4612393
android.sensor.accelerometer,1539005540469,1153484966977,9.414001,1.2737153,2.5570073
android.sensor.accelerometer,1539005540489,1153504958123,9.289502,1.6567876,2.8443117
android.sensor.accelerometer,1539005540509,1153524949269,9.643845,1.2737153,2.9975405
android.sensor.accelerometer,1539005540530,1153544940415,9.3182335,1.4077905,3.0454245
android.sensor.accelerometer,1539005540550,1153564962081,9.595961,1.3790601,3.4476504
android.sensor.accelerometer,1539005540569,1153584953227,9.710882,1.3694834,4.1659107
android.sensor.accelerometer,1539005540590,1153604944373,9.471462,1.0821792,4.453215
