Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539005457853,1070864949060,9.509769,2.9496565,1.292869
android.sensor.accelerometer,1539005457869,1070884940206,9.576807,2.8921957,1.1875241
android.sensor.accelerometer,1539005457890,1070904961873,9.414001,2.882619,0.7278373
android.sensor.accelerometer,1539005457910,1070924953019,9.193734,3.1507695,0.19153613
android.sensor.accelerometer,1539005457935,1070944944165,9.040505,3.323152,0.1436521
android.sensor.accelerometer,1539005457950,1070964965831,9.069236,3.265691,0.46926352
android.sensor.accelerometer,1539005457970,1070984956977,9.222465,3.1507695,0.61291564
android.sensor.accelerometer,1539005457990,1071004948123,9.452309,3.2273839,0.35434186
android.sensor.accelerometer,1539005458010,1071024939269,9.557653,3.2848446,0.60333884
android.sensor.accelerometer,1539005458030,1071044960935,9.548077,3.0262709,1.4748282
android.sensor.accelerometer,1539005458050,1071064952081,9.394848,2.96881,1.9153614
android.sensor.accelerometer,1539005458070,1071084943227,9.442732,2.9783869,2.4133554
android.sensor.accelerometer,1539005458092,1071104964894,9.346964,2.9783869,2.825158
android.sensor.accelerometer,1539005458110,1071124956040,9.14585,2.9783869,2.719813
android.sensor.accelerometer,1539005458130,1071144947185,9.184157,2.9400797,2.3654714
android.sensor.accelerometer,1539005458150,1071164938331,9.308656,2.873042,1.685518
android.sensor.accelerometer,1539005458170,1071184959998,9.337387,3.0071173,1.13964
android.sensor.accelerometer,1539005458192,1071204951144,9.433155,2.9879637,0.8331822
android.sensor.accelerometer,1539005458210,1071224942290,9.414001,3.1124623,0.78529817
android.sensor.accelerometer,1539005458230,1071244963956,9.356541,3.1986535,0.7565677
android.sensor.accelerometer,1539005458250,1071264955102,9.308656,3.2369606,0.6703765
android.sensor.accelerometer,1539005458270,1071284946248,9.461885,3.2082303,0.49799395
android.sensor.accelerometer,1539005458289,1071304937394,9.605537,3.1028855,0.5363012
android.sensor.accelerometer,1539005458309,1071324959060,9.5385,3.0933087,0.6512229
android.sensor.accelerometer,1539005458329,1071344950206,9.385271,3.1124623,0.8523358
android.sensor.accelerometer,1539005458352,1071364941352,9.126697,3.1411927,0.8810662
android.sensor.accelerometer,1539005458370,1071384963019,9.184157,3.064578,0.92895025
android.sensor.accelerometer,1539005458390,1071404954165,9.490616,3.0262709,1.1779473
android.sensor.accelerometer,1539005458409,1071424945310,9.481039,3.0454245,1.4173675
android.sensor.accelerometer,1539005458429,1071444966977,9.404425,3.0071173,1.7238252
android.sensor.accelerometer,1539005458450,1071464958123,9.203311,3.0262709,2.2026656
android.sensor.accelerometer,1539005458469,1071484949269,9.165004,3.0071173,2.4516625
android.sensor.accelerometer,1539005458490,1071504940415,9.32781,3.016694,1.9632454
android.sensor.accelerometer,1539005458510,1071524962081,9.576807,2.9400797,1.1875241
android.sensor.accelerometer,1539005458530,1071544953227,9.56723,3.0262709,0.842759
android.sensor.accelerometer,1539005458550,1071564944373,9.509769,3.0358477,1.0151415
android.sensor.accelerometer,1539005458570,1071584966040,9.346964,3.0071173,1.2354081
android.sensor.accelerometer,1539005458590,1071604957185,9.299079,2.9496565,1.1875241
android.sensor.accelerometer,1539005458610,1071624948331,9.433155,2.9017725,1.0630256
android.sensor.accelerometer,1539005458630,1071644939477,9.481039,2.825158,1.0726024
android.sensor.accelerometer,1539005458650,1071664961144,9.337387,2.930503,1.0726024
android.sensor.accelerometer,1539005458670,1071684952290,9.270349,3.0262709,0.6799533
android.sensor.accelerometer,1539005458690,1071704943435,8.6574335,3.169923,0.7278373
android.sensor.accelerometer,1539005458712,1071724965102,8.772355,3.3997664,0.59376204
android.sensor.accelerometer,1539005458729,1071744956248,9.509769,3.2752678,0.8619126
android.sensor.accelerometer,1539005458750,1071764947394,10.218452,3.4380736,1.8195933
android.sensor.accelerometer,1539005458770,1071784938540,10.007763,3.371036,2.2122424
android.sensor.accelerometer,1539005458790,1071804960206,9.576807,3.0933087,2.3080103
