Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1539005584831,1197837964060,-7.354032,11.202361,10.335595
android.sensor.gyroscope,1539005584844,1197857955206,-8.977712,9.979408,4.5372624
android.sensor.gyroscope,1539005584862,1197877946352,-1.2527101,-0.09985029,-2.0014389
android.sensor.gyroscope,1539005584882,1197897968019,5.8186483,-6.79249,-6.0722446
android.sensor.gyroscope,1539005584904,1197917959165,2.2707431,-4.1437783,-7.0019817
android.sensor.gyroscope,1539005584922,1197937950310,0.5920855,-2.5200984,-6.0807967
android.sensor.gyroscope,1539005584942,1197957941456,0.34163076,-2.2574263,-4.7442236
android.sensor.gyroscope,1539005584962,1197977963123,0.8400968,-2.6068413,-2.794342
android.sensor.gyroscope,1539005584982,1197997954269,1.0196911,-2.3307302,-0.023457225
android.sensor.gyroscope,1539005585002,1198017945415,0.5786465,-0.45781732,3.8860803
android.sensor.gyroscope,1539005585022,1198037967081,-0.34496433,1.3723174,7.916569
android.sensor.gyroscope,1539005585043,1198057958227,-2.0187352,3.6019757,10.590937
android.sensor.gyroscope,1539005585062,1198077949373,-5.065731,6.8811,10.488312
android.sensor.gyroscope,1539005585089,1198097940519,-6.4230733,5.8108644,6.3832974
android.sensor.gyroscope,1539005585102,1198117962185,-2.5428574,0.46212828,-0.48404962
android.sensor.gyroscope,1539005585122,1198137953331,2.9035995,-3.2641323,-4.757663
android.sensor.gyroscope,1539005585142,1198157944477,4.5175056,-3.4559438,-5.615318
android.sensor.gyroscope,1539005585163,1198177966144,2.9048214,-1.5366054,-5.1266255
android.sensor.gyroscope,1539005585182,1198197957290,1.0978819,-0.08152433,-4.697798
android.sensor.gyroscope,1539005585202,1198217948435,0.62995917,-0.12917182,-4.217658
android.sensor.gyroscope,1539005585222,1198237939581,1.2310505,-1.2091815,-3.347786
android.sensor.gyroscope,1539005585242,1198257961248,2.017845,-2.9012783,-2.0894034
android.sensor.gyroscope,1539005585262,1198277952394,2.6543665,-4.197534,-0.52436674
android.sensor.gyroscope,1539005585282,1198297943540,3.0893025,-4.1559954,1.5073711
android.sensor.gyroscope,1539005585302,1198317965206,3.3825178,-2.8182006,4.3698854
android.sensor.gyroscope,1539005585322,1198337956352,2.561515,0.9557074,7.211631
android.sensor.gyroscope,1539005585342,1198357947498,-0.958273,7.1364417,8.989248
android.sensor.gyroscope,1539005585362,1198377938644,-5.468902,13.019074,8.901284
android.sensor.gyroscope,1539005585382,1198397960310,-7.903811,13.13636,6.4187274
android.sensor.gyroscope,1539005585402,1198417951456,-3.7963529,4.9348836,0.90994483
android.sensor.gyroscope,1539005585422,1198437942602,3.5779948,-3.2800148,-5.49681
android.sensor.gyroscope,1539005585442,1198457964269,5.807653,-5.8749704,-8.953085
android.sensor.gyroscope,1539005585462,1198477955415,4.329359,-4.7350955,-9.091141
android.sensor.gyroscope,1539005585482,1198497946560,2.8461783,-3.0955334,-8.04534
android.sensor.gyroscope,1539005585502,1198517937706,2.4955416,-2.141362,-6.7539706
android.sensor.gyroscope,1539005585522,1198537959373,2.7411094,-2.2012267,-5.0459914
android.sensor.gyroscope,1539005585542,1198557950519,3.0318813,-2.535981,-2.6061954
android.sensor.gyroscope,1539005585562,1198577941665,2.4821026,-1.0723478,0.95148367
