Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1539009740405,5353408954790,-0.12489576,-0.089186326,-0.024417156
android.sensor.gyroscope,1539009740414,5353428945935,-0.14322172,-0.07452556,-0.05496042
android.sensor.gyroscope,1539009740434,5353448967602,-0.039374627,-0.02687807,-0.025638886
android.sensor.gyroscope,1539009740455,5353468958748,0.030246556,0.018308504,0.002443461
android.sensor.gyroscope,1539009740475,5353488949894,0.01314233,0.015865043,-0.021973696
android.sensor.gyroscope,1539009740494,5353508941040,-0.0015009831,-0.017104227,-0.039077923
android.sensor.gyroscope,1539009740514,5353528962706,-0.006387905,-0.07819075,-0.047630034
android.sensor.gyroscope,1539009740534,5353548953852,-0.008831366,-0.11362094,-0.040299654
android.sensor.gyroscope,1539009740554,5353568944998,-0.025935592,-0.08552113,-0.013421582
android.sensor.gyroscope,1539009740574,5353588966665,-0.035709437,0.020751964,0.02321288
android.sensor.gyroscope,1539009740597,5353608957810,-0.04548328,0.06595599,0.037873644
android.sensor.gyroscope,1539009740614,5353628948956,-0.07113962,-0.030543262,0.0061086523
android.sensor.gyroscope,1539009740634,5353648940102,-0.13955653,-0.11484266,-0.05129523
android.sensor.gyroscope,1539009740654,5353668961769,-0.15666075,-0.089186326,-0.063512534
android.sensor.gyroscope,1539009740674,5353688952915,-0.106569804,-0.041538835,-0.03296927
android.sensor.gyroscope,1539009740694,5353708944060,-0.043039817,0.006091199,0.012217305
android.sensor.gyroscope,1539009740714,5353728965727,-0.023492131,-0.0012217305,0.028099801
android.sensor.gyroscope,1539009740734,5353748956873,-0.032044247,-0.041538835,0.004886922
android.sensor.gyroscope,1539009740754,5353768948019,0.021694442,0.05618215,-0.052516956
android.sensor.gyroscope,1539009740776,5353788939165,0.127985,0.23699826,-0.102607906
android.sensor.gyroscope,1539009740794,5353808960831,0.17318901,0.20889845,-0.1343729
android.sensor.gyroscope,1539009740814,5353828951977,0.105993845,0.08916887,-0.1343729
android.sensor.gyroscope,1539009740834,5353848943123,-0.013718287,0.05496042,-0.010978121
android.sensor.gyroscope,1539009740854,5353868964790,-0.01616175,0.12093386,0.10140363
android.sensor.gyroscope,1539009740874,5353888955935,0.04490732,-0.03176499,0.10384709
android.sensor.gyroscope,1539009740898,5353908947081,0.09744173,-0.22113322,0.0036651914
android.sensor.gyroscope,1539009740915,5353928938227,0.25504497,-0.030543262,-0.13803808
android.sensor.gyroscope,1539009740934,5353948959894,0.32712707,0.17713347,-0.18568558
android.sensor.gyroscope,1539009740954,5353968951040,0.3527834,0.1343729,-0.18202038
android.sensor.gyroscope,1539009740974,5353988942185,0.32712707,-0.043982297,-0.16491616
