Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539008910776,4523789953956,-9.078813,2.719813,-5.21936
android.sensor.accelerometer,1539008910795,4523809945102,-8.781932,2.2026656,-6.4547677
android.sensor.accelerometer,1539008910817,4523829966769,-9.433155,1.1875241,-7.8625584
android.sensor.accelerometer,1539008910835,4523849957915,-12.076353,0.6895301,-7.9487495
android.sensor.accelerometer,1539008910855,4523869949060,-14.81532,0.63206923,-8.542512
android.sensor.accelerometer,1539008910875,4523889940206,-16.76899,0.7182605,-9.030929
android.sensor.accelerometer,1539008910895,4523909961873,-17.085024,0.22984336,-8.39886
android.sensor.accelerometer,1539008910915,4523929953019,-17.33402,0.0,-6.2823853
android.sensor.accelerometer,1539008910935,4523949944165,-16.950949,0.0,-4.367024
android.sensor.accelerometer,1539008910955,4523969965831,-15.868769,0.18195933,-3.8019924
android.sensor.accelerometer,1539008910975,4523989956977,-14.18325,-0.009576807,-4.501099
android.sensor.accelerometer,1539008910995,4524009948123,-13.369223,0.05746084,-4.7884035
android.sensor.accelerometer,1539008911015,4524029939269,-12.516887,0.37349546,-4.9416323
android.sensor.accelerometer,1539008911042,4524049960935,-10.888829,0.59376204,-5.592855
android.sensor.accelerometer,1539008911056,4524069952081,-9.356541,0.7374141,-5.3821654
android.sensor.accelerometer,1539008911075,4524089943227,-8.504205,0.90021986,-4.663905
android.sensor.accelerometer,1539008911096,4524109964894,-8.379706,1.4269443,-4.146757
android.sensor.accelerometer,1539008911116,4524129956040,-7.824251,1.9057846,-4.606444
android.sensor.accelerometer,1539008911135,4524149947185,-7.240066,2.3175871,-3.8402996
android.sensor.accelerometer,1539008911155,4524169938331,-7.1634517,2.825158,-2.6431987
android.sensor.accelerometer,1539008911175,4524189959998,-6.6175733,3.2273839,-2.2697031
android.sensor.accelerometer,1539008911195,4524209951144,-6.081272,3.6104562,-1.7908629
android.sensor.accelerometer,1539008911215,4524229942290,-5.7748146,3.9552212,-1.4269443
android.sensor.accelerometer,1539008911235,4524249963956,-5.0182467,4.31914,-2.030283
android.sensor.accelerometer,1539008911255,4524269955102,-4.4723687,4.5394063,-1.7717092
android.sensor.accelerometer,1539008911275,4524289946248,-3.7253778,4.644751,-0.90979666
android.sensor.accelerometer,1539008911295,4524309937394,-2.5091233,4.6830587,1.1300632
android.sensor.accelerometer,1539008911317,4524329959060,-1.0055647,4.960786,2.4995465
android.sensor.accelerometer,1539008911335,4524349950206,-0.6703765,6.4547677,3.7253778
android.sensor.accelerometer,1539008911355,4524369941352,-0.32561144,6.1100025,2.873042
android.sensor.accelerometer,1539008911375,4524389963019,-0.047884032,6.9240313,2.4995465
android.sensor.accelerometer,1539008911395,4524409954165,1.043872,7.393295,2.96881
android.sensor.accelerometer,1539008911415,4524429945310,2.566584,7.9008656,2.6431987
android.sensor.accelerometer,1539008911435,4524449966977,3.1316159,8.791509,1.685518
android.sensor.accelerometer,1539008911456,4524469958123,3.4093432,9.299079,2.767697
android.sensor.accelerometer,1539008911475,4524489949269,4.3478703,9.624691,3.620033
android.sensor.accelerometer,1539008911495,4524509940415,4.865018,9.873688,5.046977
android.sensor.accelerometer,1539008911517,4524529962081,4.414908,10.400413,5.439626
android.sensor.accelerometer,1539008911536,4524549953227,4.098873,10.534488,5.391742
android.sensor.accelerometer,1539008911555,4524569944373,3.9456444,10.457873,5.353435
android.sensor.accelerometer,1539008911575,4524589966040,3.0454245,10.745177,4.654328
android.sensor.accelerometer,1539008911598,4524609957185,2.2026656,10.821792,3.3614593
android.sensor.accelerometer,1539008911615,4524629948331,1.9919758,10.582372,2.2026656
android.sensor.accelerometer,1539008911635,4524649939477,1.6089035,10.409989,1.9632454
android.sensor.accelerometer,1539008911656,4524669961144,1.7717092,9.940725,2.1164744
android.sensor.accelerometer,1539008911675,4524689952290,1.8291701,9.452309,2.4229321
android.sensor.accelerometer,1539008911695,4524709943435,1.7525556,9.030929,3.074155
android.sensor.accelerometer,1539008911715,4524729965102,1.0630256,8.954314,3.7062242
android.sensor.accelerometer,1539008911737,4524749956248,0.641646,8.801085,3.6966474
android.sensor.accelerometer,1539008911755,4524769947394,0.32561144,8.772355,3.667917
android.sensor.accelerometer,1539008911775,4524789938540,-0.23942018,8.973468,3.7541082
android.sensor.accelerometer,1539008911796,4524809960206,0.25857377,8.90643,3.323152
android.sensor.accelerometer,1539008911816,4524829951352,0.48841715,9.050082,2.6431987
android.sensor.accelerometer,1539008911835,4524849942498,0.24899697,9.299079,2.9017725
android.sensor.accelerometer,1539008911855,4524869964165,-0.1436521,9.471462,2.920926
